,MAXMES,MAXSES,TDEPTH,TDUR,TEPOCH,TPERIOD,TSNR,n_det,rmsCdpp,sector,sectors,is_toi,toi,toi_disp,TID,ID,MH,Teff,Tmag,contratio,d,dec,gallat,gallong,logg,mass,objType,pmDEC,pmRA,ra,rad,rho
000270038761_01_01,7.65620231628418,6.186914920806885,2536.7803902851033,3.555412229288204,1325.332447287764,0.7912081000684901,11.040802001953123,1,,1.0,[[1]],0.0,0.0,0.0,270038761,270038761.0,,3343.0,11.355,0.0052903640000000005,46.25392,-28.4871,-36.510911,16.22304,4.94272,0.301,STAR,-35.52,120.41,311.7135,0.307,10.4028
000149473467_00_01,25.17978286743164,8.783883094787598,698.6977860333552,3.0000000000000013,1325.8478226224047,1.0950573682785034,,0,,1.0,[[1]],0.0,0.0,0.0,149473467,149473467.0,,6331.0,9.247,0.0060387663500000004,,-61.857839,-31.932990999999998,270.941075,3.9686199999999996,1.25106,STAR,-3.0905400000000003,-14.0006,85.270489,1.92108,0.176458
000029842113_00_01,32.96457672119141,44.78098678588867,2376.965702961057,4.971635130247553,1328.5426894395152,15.504632235331064,25.504657745361328,0,,1.0,[[1]],0.0,0.0,0.0,29842113,29842113.0,-0.1,6473.8,8.75,0.007049103,110.55856299999999,-29.883453999999997,-40.885471,15.659976,4.56,1.20476,STAR,-35.8543,18.9384,316.48918199999997,1.3358,0.505448
000358457398_00_01,79.89803314208984,32.555747985839844,423094.0549568873,2.0,1327.1228221360475,2.2753329277038574,,0,,1.0,[[1]],0.0,0.0,0.0,358457398,358457398.0,,4491.0,11.332,,,-77.897531,-34.902784000000004,292.08789,,,STAR,23.2164,3.8806599999999998,60.245078,,
000358457398_01_01,25.60079002380371,11.500118255615234,15646.421562827863,3.9941025972238497,1326.2760172812837,1.1377006110786807,27.48880386352539,1,,1.0,[[1]],0.0,0.0,0.0,358457398,358457398.0,,4491.0,11.332,,,-77.897531,-34.902784000000004,292.08789,,,STAR,23.2164,3.8806599999999998,60.245078,,
000052368076_00_01,12.67846965789795,6.633761882781982,1050.0850924730228,2.9673950896442087,1327.433383211998,4.65364343752699,14.81131649017334,0,,1.0,[[1]],1.0,125.01,PC,52368076,52368076.0,,5154.0,10.138,0.000675890944,110.60888700000001,-66.67583,-49.900676000000004,296.357176,4.47072,0.8711049999999999,STAR,-122.689,-120.164,23.594697,0.8992700000000001,1.19784
000052368076_01_01,9.967474937438963,7.045016765594482,934.0441266277866,2.9335665674763485,1334.4550458455358,9.151755108191816,11.091573715209961,1,,1.0,[[1]],1.0,125.02,PC,52368076,52368076.0,,5154.0,10.138,0.000675890944,110.60888700000001,-66.67583,-49.900676000000004,296.357176,4.47072,0.8711049999999999,STAR,-122.689,-120.164,23.594697,0.8992700000000001,1.19784
000350443140_00_01,9.44469928741455,8.068625450134277,1568.779170183438,3.181868442438348,1326.6085194573934,22.280058774398608,7.455527305603027,0,,1.0,[[1]],0.0,0.0,0.0,350443140,350443140.0,0.0687135,5696.74,10.597999999999999,0.03414813,181.222473,-56.813815000000005,-31.873469,264.998926,4.37816,1.15113,STAR,-83.6914,35.4596,85.36606,1.1286399999999999,0.800678
000167692429_00_01,392.101318359375,230.61264038085938,195199.50774803315,7.537637118701452,1330.5906776912075,10.263266107312367,470.9445495605469,0,,1.0,[[1]],0.0,0.0,0.0,167692429,167692429.0,-0.309829,6473.9,10.465,0.0364842936,323.753,-63.431093999999995,-24.131184,273.58467,4.41031,1.16062236,STAR,17.6328,-0.137901,102.716026,1.11541,0.836356
000167692429_01_01,134.30900573730472,96.51634979248048,101578.08394390477,9.095958745771627,1335.3337805627816,10.257848536620637,191.72235107421875,1,,1.0,[[1]],0.0,0.0,0.0,167692429,167692429.0,-0.309829,6473.9,10.465,0.0364842936,323.753,-63.431093999999995,-24.131184,273.58467,4.41031,1.16062236,STAR,17.6328,-0.137901,102.716026,1.11541,0.836356
000121421968_00_01,7.334596633911133,7.289215087890625,441.98862439427285,9.9382798571712,1332.5372402406842,16.988415068493598,6.72607946395874,0,,1.0,[[1]],0.0,0.0,0.0,121421968,121421968.0,,6088.0,8.308,0.000489365833,90.68858,-43.606102,-60.063931000000004,351.387627,4.26017,1.14147,STAR,-1.57859,93.8656,341.80778,1.31178,0.505687
000147271811_00_01,7.774374008178711,3.2498979568481445,915.8474904260685,1.05931922342261,1325.3653565911395,0.2874622600418909,13.755925178527832,0,,1.0,[[1]],0.0,0.0,0.0,147271811,147271811.0,,5452.0,11.023,0.021788528199999997,149.34083600000002,-44.177808,-48.041219,355.968012,4.60041,0.9520780000000001,STAR,-8.41803,-17.2452,324.71018,0.8097439999999999,1.7932
000147271811_01_01,11.683935165405273,4.569019317626953,889.7081917529559,1.2603571836425935,1325.5042661498364,0.28745923046700395,17.743276596069336,1,,1.0,[[1]],0.0,0.0,0.0,147271811,147271811.0,,5452.0,11.023,0.021788528199999997,149.34083600000002,-44.177808,-48.041219,355.968012,4.60041,0.9520780000000001,STAR,-8.41803,-17.2452,324.71018,0.8097439999999999,1.7932
000051912829_00_01,34.33903121948242,8.042977333068848,2627.265892367543,1.4701494286273502,1325.8974500261027,0.8354347815416842,53.749427795410156,0,,1.0,[[1]],1.0,180.01,PC,51912829,51912829.0,,6082.0,9.481,0.0036047233700000005,270.411041,-67.49627199999999,-49.622477,302.08184,3.7765400000000002,1.13899,STAR,16.1431,22.6791,14.2984,2.28668,0.09525850000000001
000051912829_01_01,13.262836456298828,4.176013946533203,676.0222103666366,1.4388348043463357,1325.4813484667286,0.8353641027870342,18.600807189941406,1,,1.0,[[1]],0.5,180.01,PC,51912829,51912829.0,,6082.0,9.481,0.0036047233700000005,270.411041,-67.49627199999999,-49.622477,302.08184,3.7765400000000002,1.13899,STAR,16.1431,22.6791,14.2984,2.28668,0.09525850000000001
000441386863_00_01,8933.8935546875,11784.4287109375,287045.22682452394,1.5,1325.6374060360158,13.748605728149414,,0,,1.0,[[1]],0.0,0.0,0.0,441386863,441386863.0,,5515.0,8.968,0.0343027674,110.51991299999999,-34.203934999999994,-36.327093,8.898606,4.1455400000000004,0.9685010000000001,STAR,-3.3422300000000003,11.6079,310.025969,1.37878,0.369501
000441386863_01_01,491.4280700683594,659.6512451171875,16304.25567340963,5.481040962912519,1326.2481382327314,26.43355767558124,172.7533721923828,1,,1.0,[[1]],0.0,0.0,0.0,441386863,441386863.0,,5515.0,8.968,0.0343027674,110.51991299999999,-34.203934999999994,-36.327093,8.898606,4.1455400000000004,0.9685010000000001,STAR,-3.3422300000000003,11.6079,310.025969,1.37878,0.369501
000441386863_02_01,27.554615020751953,36.10612106323242,1359.9914077862893,8.999999999999998,1327.24087764657,23.65137986690979,,2,,1.0,[[1]],0.0,0.0,0.0,441386863,441386863.0,,5515.0,8.968,0.0343027674,110.51991299999999,-34.203934999999994,-36.327093,8.898606,4.1455400000000004,0.9685010000000001,STAR,-3.3422300000000003,11.6079,310.025969,1.37878,0.369501
000403237836_00_01,20.1121768951416,17.016328811645508,7628.273352552875,1.6547858295000355,1326.6563755495395,23.301624202679953,5.572668075561523,0,,1.0,[[1]],0.0,0.0,0.0,403237836,403237836.0,,3449.0,10.478,0.00217933767,,-64.67890200000001,-43.983954,326.431943,,,STAR,-100.396,42.6298,330.727218,,
000363913149_00_01,16.262260437011722,16.996828079223633,1557.579408282666,3.310937363587146,1335.2827752064559,14.109235157843216,14.956313133239744,0,,1.0,[[1]],0.0,0.0,0.0,363913149,363913149.0,,,4.91,0.237379819,220.750534,-53.425647999999995,-29.369469,261.271617,,,STAR,-1.1,9.2,89.309821,,
000404804908_00_01,78.04353332519531,31.01936149597168,11488.483409373956,2.2150413871320778,1326.644472862589,2.207096021385191,83.13260650634766,0,,1.0,[[1]],0.0,0.0,0.0,404804908,404804908.0,,5795.0,10.869000000000002,0.0814027,243.345,-70.902839,-31.421640000000004,281.559378,4.34213,1.0404377,STAR,1.9,16.0,84.763423,1.13961,0.702994
000092733122_00_01,35.56129455566406,48.399574279785156,1652.4278489346011,11.962935629892455,1327.442258210599,15.865170237050664,14.844334602355955,0,,1.0,[[1]],0.0,0.0,0.0,92733122,92733122.0,,5643.0,9.794,0.0013060546499999999,136.303,-32.33178,-41.561114,12.514694,4.37094,1.0008148000000001,STAR,-11.3,37.8,316.770442,1.08123,0.791768
000092352621_00_01,91.23682403564452,39.48515319824219,14228.21573389086,4.559779046090626,1328.2993739440114,3.950100130892817,95.31290435791016,0,,1.0,[[1]],0.0,0.0,0.0,92352621,92352621.0,,6040.0,9.991,1.22467041,204.44299999999998,-34.135521000000004,-39.382544,9.655612,4.27118,1.24,STAR,,,313.788158,1.35,0.503988
000212344482_00_01,42.08668899536133,14.949749946594238,13286.093840330172,2.9260494756969933,1325.86733262774,0.7522612803786363,98.61579895019531,0,,1.0,[[1]],0.0,0.0,0.0,212344482,212344482.0,,5711.0,8.299,0.004780899270000001,96.2529,-28.872268,-35.180147999999996,15.31606,4.3579099999999995,1.01803935,STAR,-27.3,12.1,310.037093,1.1069799999999999,0.7504810000000001
000212344482_01_01,11.752362251281738,4.725810527801514,974.6531537843408,0.6614404728736112,1325.3122974952905,0.7523857125467315,13.013657569885256,1,,1.0,[[1]],0.0,0.0,0.0,212344482,212344482.0,,5711.0,8.299,0.004780899270000001,96.2529,-28.872268,-35.180147999999996,15.31606,4.3579099999999995,1.01803935,STAR,-27.3,12.1,310.037093,1.1069799999999999,0.7504810000000001
000212344482_02_01,10.542993545532227,4.351669788360597,757.1411153788043,0.5179048629609018,1325.3722568274713,0.7523227332651263,9.99199104309082,2,,1.0,[[1]],0.0,0.0,0.0,212344482,212344482.0,,5711.0,8.299,0.004780899270000001,96.2529,-28.872268,-35.180147999999996,15.31606,4.3579099999999995,1.01803935,STAR,-27.3,12.1,310.037093,1.1069799999999999,0.7504810000000001
000097402522_00_01,24.028209686279297,6.23391580581665,3014.5275965804053,1.514957648698434,1325.5802025005235,0.8005409286091174,37.328712463378906,0,,1.0,[[1]],0.0,0.0,0.0,97402522,97402522.0,,4913.0,10.489,0.0071819415299999995,132.378,-32.21849,-54.785928000000006,14.694322,4.50673,0.8052224,STAR,-21.8,-14.8,332.517813,0.829485,1.41088
000097402522_01_01,7.45550012588501,3.285128831863404,367.1654099714029,1.556850098892478,1325.4440059385627,0.2668771740426498,10.77141284942627,1,,1.0,[[1]],0.0,0.0,0.0,97402522,97402522.0,,4913.0,10.489,0.0071819415299999995,132.378,-32.21849,-54.785928000000006,14.694322,4.50673,0.8052224,STAR,-21.8,-14.8,332.517813,0.829485,1.41088
000290045270_00_01,47.7752799987793,65.61222839355469,4290.187649969953,6.309556637619507,1330.793978330891,12.776874839285483,33.57254409790039,0,,1.0,[[1]],0.0,0.0,0.0,290045270,290045270.0,,5824.0,10.085,0.01387028,178.695,-29.915491999999997,-42.941454,16.152678,4.33676,1.04863763,STAR,-11.5,25.4,318.897991,1.1512,0.687351
000092595563_00_01,33.746437072753906,45.54317855834961,2214.1789763978727,12.796521877550552,1330.5549595559066,12.843392097542608,8.769100189208983,0,,1.0,[[1]],0.0,0.0,0.0,92595563,92595563.0,,3511.0,10.959000000000001,0.470295519,55.14023,-31.4702,-40.405848,13.408048999999998,4.85916,0.409,STAR,-169.42,-33.42,315.5651,0.39399999999999996,6.68705
000231712886_00_01,12.891772270202635,2.4284214973449707,7705.631246714671,1.0,1325.42837833796,0.2763756215572357,,0,,1.0,[[1]],0.0,0.0,0.0,231712886,231712886.0,,31000.0,13.710999999999999,0.00448519224,374.538,-54.453201,-58.752442,326.298929,5.59998,0.47,STAR,-9.57377,12.6113,352.13396,0.18,80.5899
000231712886_01_01,28.53842163085937,5.01201868057251,11.036024699267509,0.3311514305863749,1325.3036822349388,0.27623871757443297,0.00509297801181674,1,,1.0,[[1]],0.0,0.0,0.0,231712886,231712886.0,,31000.0,13.710999999999999,0.00448519224,374.538,-54.453201,-58.752442,326.298929,5.59998,0.47,STAR,-9.57377,12.6113,352.13396,0.18,80.5899
000141708335_00_01,12.270447731018065,6.671127796173098,3173.312117400139,3.0369963648545,1328.6557610650889,4.7616051669057535,14.788203239440918,0,,1.0,[[1]],0.0,0.0,0.0,141708335,141708335.0,,3384.0,12.263,0.0372060165,76.68366,-77.2988,-29.133875,288.700541,4.92123,0.327,STAR,-161.23,-6.91,90.4574,0.32799999999999996,9.26672
